,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
106,300128.SZ,20190531,4.16,1.7003,2.6257,0.74,,,3.7863,1.775,1.9608,109411.5412,106495.2993,68961.5866,455152.0114,443020.4451
107,300491.SZ,20190531,14.7,0.6597,1.4607,0.86,,,3.6696,14.6329,13.3118,16124.7503,11852.9725,5352.7569,237033.8294,174238.6958
108,002677.SZ,20190531,13.42,1.216,1.8484,0.5,22.9654,22.165,7.5112,6.1889,5.896,64605.1647,28594.9416,18810.5034,867001.3103,383744.1163
109,603717.SH,20190531,8.73,1.2979,1.311,0.99,23.0296,21.6705,1.5631,2.0147,1.9929,24179.624,12207.944,12086.0131,211088.1175,106575.3511
110,600051.SH,20190531,6.3,0.4507,0.6356,0.78,7.8829,7.3485,0.8284,0.4848,0.4827,31088.0,31088.0,22046.24,195854.4,195854.4
111,300777.SZ,20190531,24.92,1.4877,1.4877,3.45,82.7228,73.7831,11.4882,46.8872,41.9603,40001.0,4001.0,4001.0,996824.92,99704.92
112,300231.SZ,20190531,7.21,1.3322,1.4391,0.7,28.33,28.385,2.5562,2.6132,2.4502,44210.022,35312.8691,32688.1311,318754.2586,254605.7862
113,603056.SH,20190531,14.68,0.5421,0.5421,0.74,20.1209,25.5525,3.5425,0.6121,0.5921,96000.0,21765.8855,21765.8855,1409280.0,319523.1991
114,002492.SZ,20190531,5.49,1.5694,2.7979,1.55,38.6127,35.6561,1.7891,8.7341,8.4262,40500.0,39813.1742,22331.4242,222345.0,218574.3264
115,600312.SH,20190531,7.58,0.3575,0.6008,0.7,35.9214,29.9737,1.149,0.9509,0.9354,135692.1309,135692.1309,80742.3736,1028546.3522,1028546.3522
116,603787.SH,20190531,12.51,1.8986,2.639,0.88,28.7864,28.6555,2.6581,0.8366,0.8265,20400.0,7089.0,5100.0,255204.0,88683.39
117,300513.SZ,20190531,24.65,3.9079,3.9568,1.5,37.5083,31.4976,1.8205,3.9378,3.5758,17427.2864,10994.8909,10859.1579,429582.6098,271024.0607
118,600446.SH,20190531,18.64,2.2467,4.214,0.59,,,10.0122,3.2519,3.1159,85321.0484,85321.0484,45489.1465,1590384.3422,1590384.3422
119,300197.SZ,20190531,3.41,0.8062,0.889,1.44,26.2841,28.2377,1.2591,1.0322,1.0781,234547.7837,166590.3967,151082.5945,799807.9424,568073.2527
120,002532.SZ,20190531,6.3,1.3009,3.2455,0.87,24.2238,23.8507,2.429,2.1148,2.0917,50308.0023,37799.7864,15151.2422,316940.4145,238138.6543
121,601688.SH,20190531,18.63,0.538,0.9015,0.61,30.5451,26.014,1.4417,9.5433,8.5089,825150.0,544372.312,324904.7506,15372544.5,10141656.1726
122,300251.SZ,20190531,6.96,0.2928,0.9588,0.85,14.8678,,2.3739,13.6892,10.1748,293360.8432,274292.2744,83762.5956,2041791.4687,1909074.2298
123,600309.SH,20190531,38.04,1.1726,1.1726,0.73,11.2565,12.1126,3.4426,1.9702,1.8967,313974.6626,142375.642,142375.642,11943596.1653,5415969.4217
124,600095.SH,20190531,5.13,11.935,14.222,1.15,122.4369,145.775,2.2198,6.1899,5.0965,36126.3565,36126.3565,30316.9257,185328.2088,185328.2088
125,002033.SZ,20190531,5.99,0.2866,0.5211,0.52,17.1759,18.2022,1.333,4.8516,4.9063,54949.0711,54948.0181,30220.5046,329144.9359,329138.6284
126,002783.SZ,20190531,12.6,6.6701,8.9167,0.92,51.4517,50.3803,2.8979,2.2555,2.1983,33388.0,27458.5608,20540.2808,420688.8,345977.8661
127,002732.SZ,20190531,16.36,0.8074,1.9379,1.3,60.9998,58.9952,2.8347,1.9845,1.9502,15735.0,15562.1325,6483.7725,257424.6,254596.4877
128,002752.SZ,20190531,6.75,0.1511,0.732,0.72,131.8166,185.5316,3.1092,2.6802,2.6919,83318.0519,82588.6959,17048.8356,562396.8503,557473.6973
129,000998.SZ,20190531,15.0,6.8051,10.8766,1.48,24.9741,28.1972,2.8986,5.5185,5.6357,131697.0298,96520.9614,60390.096,1975455.447,1447814.421
130,300135.SZ,20190531,2.9,0.6237,0.7118,0.94,64.4358,62.8468,2.167,1.3038,1.276,92160.0,92160.0,80742.2568,267264.0,267264.0
131,600654.SH,20190531,1.89,0.5016,0.5056,0.56,,,38.1617,0.6687,0.8962,128302.0992,75504.3154,74914.3769,242490.9675,142703.1561
132,300177.SZ,20190531,10.14,9.0202,10.1874,1.54,71.1442,70.3702,3.6973,5.2671,5.1478,66945.3916,49359.9409,43704.8027,678826.2708,500509.8007
133,600748.SH,20190531,10.2,1.6534,3.6467,2.15,28.6102,27.4174,1.8541,2.1716,2.0712,184456.2892,184456.2892,83634.7149,1881454.1498,1881454.1498
134,000965.SZ,20190531,3.9,0.681,1.4027,0.58,45.0389,,0.834,1.8904,3.1148,110983.0895,110983.0895,53883.4999,432834.0491,432834.0491
135,600323.SH,20190531,15.8,0.4192,0.7681,1.29,13.8284,15.9688,2.0102,2.4971,2.4371,76626.4018,76626.4018,41825.1306,1210697.1484,1210697.1484
136,600192.SH,20190531,6.26,2.7646,4.5153,1.02,238.9105,250.6958,1.4312,1.55,1.5375,44174.8,44174.8,27047.5247,276534.248,276534.248
137,600743.SH,20190531,2.66,0.1705,0.4331,0.73,8.3213,8.2072,0.7953,0.9135,0.9106,234610.0874,234610.0874,92329.6035,624062.8325,624062.8325
138,002561.SZ,20190531,8.37,0.2199,0.3675,0.95,15.0459,15.2463,1.6206,1.6817,1.7005,41576.3,39714.9645,23764.4944,347993.631,332414.2529
139,002590.SZ,20190531,7.95,1.3088,2.8979,1.3,,,2.1365,1.6908,1.7351,47964.6926,43447.5848,19623.0478,381319.3062,345408.2992
140,000513.SZ,20190531,31.05,0.7266,1.2107,1.01,20.6311,19.8003,2.0241,2.5197,2.4537,71905.024,45822.0086,27498.3452,2232650.9952,1422773.367
141,300496.SZ,20190531,28.76,3.3455,4.3119,0.91,70.5575,65.5207,7.4063,7.9155,7.6349,40309.0847,28266.8697,21931.9314,1159289.276,812955.1726
142,600085.SH,20190531,29.22,0.1914,0.4026,0.75,35.3301,34.3534,4.1815,2.8204,2.7723,137147.0262,137147.0262,65216.1722,4007436.1056,4007436.1056
143,300370.SZ,20190531,4.27,8.7487,9.4786,0.55,,,4.8216,2.9809,2.8116,95714.6344,72244.457,66680.7586,408701.4889,308483.8314
144,600088.SH,20190531,14.65,1.9956,4.6285,0.73,50.8765,46.2544,4.7966,7.1852,6.7433,39770.64,39770.64,17146.9217,582639.876,582639.876
145,300380.SZ,20190531,19.88,1.6997,3.1775,0.77,93.5181,92.7323,6.3047,4.9938,5.0308,13744.0,12332.1725,6596.6129,273230.72,245163.5893
146,002409.SZ,20190531,16.8,2.7977,4.8436,1.01,58.511,49.5134,1.8743,5.0252,4.6987,46285.3503,18314.4946,10578.6339,777593.885,307683.5093
147,000584.SZ,20190531,7.24,0.4806,0.693,0.77,36.8966,41.7508,2.6081,1.8637,1.9668,61332.4339,59831.5925,41493.1948,444046.8214,433180.7297
148,001872.SZ,20190531,16.09,0.1748,0.8645,0.78,26.4632,16.4076,0.9178,2.9738,2.4474,179341.2378,46485.5324,9397.7324,2885600.5162,747952.2163
149,000877.SZ,20190531,10.41,1.3421,2.0806,0.75,8.7963,7.6753,1.3358,1.3764,1.3433,104872.2959,88009.4899,56771.329,1091720.6003,916178.7899
150,002505.SZ,20190531,2.17,1.2987,3.0029,1.01,,,2.572,0.8886,0.9,548537.22,548537.22,237235.4318,1190325.7674,1190325.7674
151,300432.SZ,20190531,6.25,0.3796,0.773,0.59,,,1.8494,2.1022,2.0406,49730.575,37793.9185,18559.4851,310816.0938,236211.9906
152,000952.SZ,20190531,9.93,0.3775,0.4525,0.72,14.5545,21.3124,2.7658,2.962,3.2048,25170.5513,25169.5243,20998.4442,249943.5744,249933.3763
153,600630.SH,20190531,8.17,1.1214,1.6038,0.68,92.1383,151.5319,1.9094,0.7957,0.7886,42486.1597,42486.1597,29705.04,347111.9247,347111.9247
154,300420.SZ,20190531,5.61,1.1277,1.2992,0.81,30.6476,25.8883,2.5351,4.0064,3.6492,71563.0489,46919.5741,40727.2799,401468.7043,263218.8107
155,600466.SH,20190531,5.92,0.5257,1.2918,0.88,7.943,7.3061,1.1425,0.5732,0.5311,298410.8035,298410.8035,121446.5794,1766591.9567,1766591.9567
156,300639.SZ,20190531,14.19,0.8641,0.8707,0.94,27.0447,25.9576,3.2854,5.3162,5.0555,21742.4187,10768.8537,10687.2777,308524.9214,152810.034
157,300296.SZ,20190531,7.8,0.8358,0.932,0.87,15.6853,15.24,2.521,2.5757,2.4402,254287.6576,186022.6351,166813.7626,1983443.7293,1450976.5538
158,002445.SZ,20190531,1.83,0.4279,0.6894,0.49,,,1.2067,2.6575,2.6781,140883.907,108211.0426,67157.5419,257817.5498,198026.208
159,600560.SH,20190531,9.16,0.9227,1.6354,0.64,97.5242,92.1992,2.7086,3.6586,3.4044,22364.55,22364.55,12617.8376,204859.278,204859.278
160,002547.SZ,20190531,11.33,17.6064,21.5898,1.17,319.5474,325.3469,4.692,2.591,2.4062,112805.7168,65462.3418,53384.3418,1278088.7713,741688.3326
161,600306.SH,20190531,7.83,1.3762,1.9885,2.45,,,622.4346,1.3995,1.3304,17813.8918,17740.5726,12278.219,139482.7728,138908.6835
162,002357.SZ,20190531,6.77,1.0146,6.235,0.87,56.4332,45.2338,1.8528,2.2108,2.2445,31348.9036,31315.4415,5095.7674,212232.0774,212005.539
163,603701.SH,20190531,20.44,7.1158,14.5027,1.08,26.9142,27.8133,4.1843,6.4995,6.5281,14593.896,14298.768,7015.7474,298299.2342,292266.8179
164,000035.SZ,20190531,4.36,0.259,0.4259,0.99,49.1144,38.9005,1.3409,5.7572,2.2086,243873.6365,128108.9502,77919.8418,1063289.0551,558555.0229
165,603580.SH,20190531,18.13,1.9555,1.9555,0.96,47.2696,46.2797,4.2408,8.9957,9.0039,9333.8,3016.3,3016.3,169221.794,54685.519
